id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_investasi,satuan,tahun
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2017
289,32,JAWA BARAT,3271,KOTA BOGOR,248975640000,RUPIAH,2017
290,32,JAWA BARAT,3272,KOTA SUKABUMI,0,RUPIAH,2017
291,32,JAWA BARAT,3273,KOTA BANDUNG,1082916060000,RUPIAH,2017
292,32,JAWA BARAT,3274,KOTA CIREBON,259566360000,RUPIAH,2017
293,32,JAWA BARAT,3275,KOTA BEKASI,2640853070000,RUPIAH,2017
294,32,JAWA BARAT,3276,KOTA DEPOK,1015511190000,RUPIAH,2017
295,32,JAWA BARAT,3277,KOTA CIMAHI,312968600000,RUPIAH,2017
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8806480000,RUPIAH,2017
297,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2017
298,32,JAWA BARAT,3201,KABUPATEN BOGOR,4954720331137,RUPIAH,2018
299,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,614292087285,RUPIAH,2018
300,32,JAWA BARAT,3203,KABUPATEN CIANJUR,40985231297,RUPIAH,2018
301,32,JAWA BARAT,3204,KABUPATEN BANDUNG,377413592730,RUPIAH,2018
302,32,JAWA BARAT,3205,KABUPATEN GARUT,170508276615,RUPIAH,2018
303,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,73866160629,RUPIAH,2018
304,32,JAWA BARAT,3207,KABUPATEN CIAMIS,179559965,RUPIAH,2018
305,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,68555735715,RUPIAH,2018
306,32,JAWA BARAT,3209,KABUPATEN CIREBON,3841014452206,RUPIAH,2018
307,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1220680815162,RUPIAH,2018
308,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,107835153744,RUPIAH,2018
309,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,115668782570,RUPIAH,2018
310,32,JAWA BARAT,3213,KABUPATEN SUBANG,1025243234345,RUPIAH,2018
311,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5828543447035,RUPIAH,2018
312,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11635516208199,RUPIAH,2018
