id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
101,32,JAWA BARAT,3204,KABUPATEN BANDUNG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3434,ORANG,2012
102,32,JAWA BARAT,3205,KABUPATEN GARUT,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2730,ORANG,2012
103,32,JAWA BARAT,3205,KABUPATEN GARUT,SD,13503,ORANG,2012
104,32,JAWA BARAT,3205,KABUPATEN GARUT,SMP,21689,ORANG,2012
105,32,JAWA BARAT,3205,KABUPATEN GARUT,SMA,25891,ORANG,2012
106,32,JAWA BARAT,3205,KABUPATEN GARUT,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,0,ORANG,2012
107,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,519,ORANG,2012
108,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SD,16952,ORANG,2012
109,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMP,15705,ORANG,2012
110,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SMA,7564,ORANG,2012
111,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1034,ORANG,2012
112,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,0,ORANG,2012
113,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SD,16508,ORANG,2012
114,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SMP,13388,ORANG,2012
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SMA,9936,ORANG,2012
116,32,JAWA BARAT,3207,KABUPATEN CIAMIS,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1934,ORANG,2012
117,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,514,ORANG,2012
118,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SD,8438,ORANG,2012
119,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMP,12612,ORANG,2012
120,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMA,12305,ORANG,2012
121,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,739,ORANG,2012
122,32,JAWA BARAT,3209,KABUPATEN CIREBON,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,31268,ORANG,2012
123,32,JAWA BARAT,3209,KABUPATEN CIREBON,SD,38000,ORANG,2012
124,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMP,42654,ORANG,2012
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMA,30147,ORANG,2012
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3565,ORANG,2012
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2385,ORANG,2012
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SD,19015,ORANG,2012
129,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMP,5593,ORANG,2012
130,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMA,11115,ORANG,2012
131,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1949,ORANG,2012
132,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,446,ORANG,2012
133,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SD,8948,ORANG,2012
134,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMP,12169,ORANG,2012
135,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMA,16982,ORANG,2012
136,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,561,ORANG,2012
137,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,15615,ORANG,2012
138,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SD,16636,ORANG,2012
139,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMP,14774,ORANG,2012
140,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMA,13650,ORANG,2012
141,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,874,ORANG,2012
142,32,JAWA BARAT,3213,KABUPATEN SUBANG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2386,ORANG,2012
143,32,JAWA BARAT,3213,KABUPATEN SUBANG,SD,14994,ORANG,2012
144,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMP,23489,ORANG,2012
145,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMA,18814,ORANG,2012
146,32,JAWA BARAT,3213,KABUPATEN SUBANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,664,ORANG,2012
147,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,9128,ORANG,2012
148,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SD,10659,ORANG,2012
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMP,9235,ORANG,2012
150,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMA,9332,ORANG,2012
151,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,0,ORANG,2012
152,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,8884,ORANG,2012
153,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SD,24831,ORANG,2012
154,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMP,40981,ORANG,2012
155,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMA,41669,ORANG,2012
156,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,0,ORANG,2012
157,32,JAWA BARAT,3216,KABUPATEN BEKASI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,7250,ORANG,2012
158,32,JAWA BARAT,3216,KABUPATEN BEKASI,SD,21396,ORANG,2012
159,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMP,34651,ORANG,2012
160,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMA,22732,ORANG,2012
161,32,JAWA BARAT,3216,KABUPATEN BEKASI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,7346,ORANG,2012
162,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,1680,ORANG,2012
163,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SD,16686,ORANG,2012
164,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMP,22651,ORANG,2012
165,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMA,21138,ORANG,2012
166,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,3402,ORANG,2012
167,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,0,ORANG,2012
168,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SD,0,ORANG,2012
169,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMP,0,ORANG,2012
170,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMA,0,ORANG,2012
171,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,0,ORANG,2012
172,32,JAWA BARAT,3271,KOTA BOGOR,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,2063,ORANG,2012
173,32,JAWA BARAT,3271,KOTA BOGOR,SD,5226,ORANG,2012
174,32,JAWA BARAT,3271,KOTA BOGOR,SMP,5764,ORANG,2012
175,32,JAWA BARAT,3271,KOTA BOGOR,SMA,20900,ORANG,2012
176,32,JAWA BARAT,3271,KOTA BOGOR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,5464,ORANG,2012
177,32,JAWA BARAT,3272,KOTA SUKABUMI,TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD,658,ORANG,2012
178,32,JAWA BARAT,3272,KOTA SUKABUMI,SD,4476,ORANG,2012
179,32,JAWA BARAT,3272,KOTA SUKABUMI,SMP,1692,ORANG,2012
